Name,Embarked
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",S
"Davidson, Mr. Thornton",S
"Mitchell, Mr. Henry Michael",S
"Wilhelms, Mr. Charles",S
"Watson, Mr. Ennis Hastings",S
"Edvardsson, Mr. Gustaf Hjalmar",S
"Sawyer, Mr. Frederick Charles",S
"Turja, Miss. Anna Sofia",S
"Goodwin, Mrs. Frederick (Augusta Tyler)",S
"Cardeza, Mr. Thomas Drake Martinez",C
"Peters, Miss. Katie",Q
"Hassab, Mr. Hammad",C
"Olsvigen, Mr. Thor Anderson",S
"Goodwin, Mr. Charles Edward",S
"Brown, Mr. Thomas William Solomon",S
"Laroche, Mr. Joseph Philippe Lemercier",C
"Panula, Mr. Jaako Arnold",S
"Dakic, Mr. Branko",S
"Fischer, Mr. Eberhard Thelander",S
"Madill, Miss. Georgette Alexandra",S
"Dick, Mr. Albert Adrian",S
"Karun, Miss. Manca",C
"Lam, Mr. Ali",S
"Saad, Mr. Khalil",C
"Weir, Col. John",S
"Chapman, Mr. Charles Henry",S
"Kelly, Mr. James",S
"Mullens, Miss. Katherine ""Katie""",Q
"Thayer, Mr. John Borland",C
"Humblen, Mr. Adolf Mathias Nicolai Olsen",S
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",C
"Silverthorne, Mr. Spencer Victor",S
"Barbara, Miss. Saiide",C
"Gallagher, Mr. Martin",Q
"Hansen, Mr. Henrik Juul",S
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",S
"Kelly, Mrs. Florence ""Fannie""",S
"Calderhead, Mr. Edward Pennington",S
"Cleaver, Miss. Alice",S
"Moubarek, Master. Halim Gonios (""William George"")",C
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",C
"Klaber, Mr. Herman",S
"Taylor, Mr. Elmer Zebley",S
"Larsson, Mr. August Viktor",S
"Greenberg, Mr. Samuel",S
"Soholt, Mr. Peter Andreas Lauritz Andersen",S
"Endres, Miss. Caroline Louise",C
"Troutt, Miss. Edwina Celia ""Winnie""",S
"McEvoy, Mr. Michael",Q
"Johnson, Mr. Malkolm Joackim",S
"Harper, Miss. Annie Jessie ""Nina""",S
"Jensen, Mr. Svend Lauritz",S
"Gillespie, Mr. William Henry",S
"Hodges, Mr. Henry Price",S
"Chambers, Mr. Norman Campbell",S
"Oreskovic, Mr. Luka",S
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",S
"Mannion, Miss. Margareth",Q
"Bryhl, Mr. Kurt Arnold Gottfrid",S
"Ilmakangas, Miss. Pieta Sofia",S
"Allen, Miss. Elisabeth Walton",S
"Hassan, Mr. Houssein G N",C
"Knight, Mr. Robert J",S
"Berriman, Mr. William John",S
"Troupiansky, Mr. Moses Aaron",S
"Williams, Mr. Leslie",S
"Ford, Mrs. Edward (Margaret Ann Watson)",S
"Lesurer, Mr. Gustave J",C
"Ivanoff, Mr. Kanio",S
"Nankoff, Mr. Minko",S
"Hawksford, Mr. Walter James",S
"Cavendish, Mr. Tyrell William",S
"Ryerson, Miss. Susan Parker ""Suzette""",C
"McNamee, Mr. Neal",S
"Stranden, Mr. Juho",S
"Crosby, Capt. Edward Gifford",S
"Abbott, Mr. Rossmore Edward",S
"Sinkkonen, Miss. Anna",S
"Marvin, Mr. Daniel Warner",S
"Connaghton, Mr. Michael",Q
"Wells, Miss. Joan",S
"Moor, Master. Meier",S
"Vande Velde, Mr. Johannes Joseph",S
"Jonkoff, Mr. Lalio",S
"Herman, Mrs. Samuel (Jane Laver)",S
"Hamalainen, Master. Viljo",S
"Carlsson, Mr. August Sigfrid",S
"Bailey, Mr. Percy Andrew",S
"Theobald, Mr. Thomas Leonard",S
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",S
"Garfirth, Mr. John",S
"Nirva, Mr. Iisakki Antino Aijo",S
"Barah, Mr. Hanna Assi",C
"Carter, Mrs. William Ernest (Lucile Polk)",S
"Eklund, Mr. Hans Linus",S
"Hogeboom, Mrs. John C (Anna Andrews)",S
"Brewe, Dr. Arthur Jackson",C
"Mangan, Miss. Mary",Q
"Moran, Mr. Daniel J",Q
"Gronnestad, Mr. Daniel Danielsen",S
"Lievens, Mr. Rene Aime",S
"Jensen, Mr. Niels Peder",S
"Mack, Mrs. (Mary)",S
"Elias, Mr. Dibo",C
"Hocking, Mrs. Elizabeth (Eliza Needs)",S
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",S
"Tobin, Mr. Roger",Q
"Emanuel, Miss. Virginia Ethel",S
"Kilgannon, Mr. Thomas J",Q
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",S
"Ayoub, Miss. Banoura",C
"Dick, Mrs. Albert Adrian (Vera Gillespie)",S
"Long, Mr. Milton Clyde",S
"Johnston, Mr. Andrew G",S
"Ali, Mr. William",S
"Harmer, Mr. Abraham (David Lishin)",S
"Sjoblom, Miss. Anna Sofia",S
"Rice, Master. George Hugh",Q
"Dean, Master. Bertram Vere",S
"Guggenheim, Mr. Benjamin",C
"Keane, Mr. Andrew ""Andy""",Q
"Gaskell, Mr. Alfred",S
"Sage, Miss. Stella Anna",S
"Hoyt, Mr. William Fisher",C
"Dantcheff, Mr. Ristiu",S
"Otter, Mr. Richard",S
"Leader, Dr. Alice (Farnham)",S
"Osman, Mrs. Mara",S
"Ibrahim Shawah, Mr. Yousseff",C
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",S
"Ponesell, Mr. Martin",S
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",S
"Carter, Master. William Thornton II",S
"Thomas, Master. Assad Alexander",C
"Hedman, Mr. Oskar Arvid",S
"Johansson, Mr. Karl Johan",S
"Andrews, Mr. Thomas Jr",S
"Pettersson, Miss. Ellen Natalia",S
"Meyer, Mr. August",S
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",S
"Alexander, Mr. William",S
"Lester, Mr. James",S
"Slemen, Mr. Richard James",S
"Andersson, Miss. Ebba Iris Alfrida",S
"Tomlin, Mr. Ernest Portage",S
"Fry, Mr. Richard",S
"Heininen, Miss. Wendla Maria",S
"Mallet, Mr. Albert",C
"Holm, Mr. John Fredrik Alexander",S
"Skoog, Master. Karl Thorsten",S
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",S
"Lulic, Mr. Nikola",S
"Reuchlin, Jonkheer. John George",S
"Moor, Mrs. (Beila)",S
"Panula, Master. Urho Abraham",S
"Flynn, Mr. John",Q
"Lam, Mr. Len",S
"Mallet, Master. Andre",C
"McCormack, Mr. Thomas Joseph",Q
"Stone, Mrs. George Nelson (Martha Evelyn)",
"Yasbeck, Mrs. Antoni (Selini Alexander)",C
"Richards, Master. George Sibley",S
"Saad, Mr. Amin",C
"Augustsson, Mr. Albert",S
"Allum, Mr. Owen George",S
"Compton, Miss. Sara Rebecca",C
"Pasic, Mr. Jakob",S
"Sirota, Mr. Maurice",S
"Chip, Mr. Chang",S
"Marechal, Mr. Pierre",C
"Alhomaki, Mr. Ilmari Rudolf",S
"Mudd, Mr. Thomas Charles",S
"Serepeca, Miss. Augusta",C
"Lemberopolous, Mr. Peter L",C
"Culumovic, Mr. Jeso",S
"Abbing, Mr. Anthony",S
"Sage, Mr. Douglas Bullen",S
"Markoff, Mr. Marin",C
"Harper, Rev. John",S
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",C
"Andersson, Master. Sigvard Harald Elias",S
"Svensson, Mr. Johan",S
"Boulos, Miss. Nourelain",C
"Lines, Miss. Mary Conover",S
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",S
"Aks, Mrs. Sam (Leah Rosen)",S
"Wick, Mrs. George Dennick (Mary Hitchcock)",S
"Daly, Mr. Peter Denis ",S
"Baclini, Mrs. Solomon (Latifa Qurban)",C
"Razi, Mr. Raihed",C
"Hansen, Mr. Claus Peter",S
"Giles, Mr. Frederick Edward",S
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",S
"Sage, Miss. Dorothy Edith ""Dolly""",S
"Gill, Mr. John William",S
"Bystrom, Mrs. (Karolina)",S
"Duran y More, Miss. Asuncion",C
"Roebling, Mr. Washington Augustus II",S
"van Melkebeke, Mr. Philemon",S
"Johnson, Master. Harold Theodor",S
"Balkic, Mr. Cerin",S
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",S
"Carlsson, Mr. Frans Olof",S
"Vander Cruyssen, Mr. Victor",S
"Abelson, Mrs. Samuel (Hannah Wizosky)",C
"Najib, Miss. Adele Kiamie ""Jane""",C
"Gustafsson, Mr. Alfred Ossian",S
"Petroff, Mr. Nedelio",S
"Laleff, Mr. Kristo",S
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",C
"Shelley, Mrs. William (Imanita Parrish Hall)",S
"Markun, Mr. Johann",S
"Dahlberg, Miss. Gerda Ulrika",S
"Banfield, Mr. Frederick James",S
"Sutehall, Mr. Henry Jr",S
"Rice, Mrs. William (Margaret Norton)",Q
"Montvila, Rev. Juozas",S
"Graham, Miss. Margaret Edith",S
"Johnston, Miss. Catherine Helen ""Carrie""",S
"Behr, Mr. Karl Howell",C
"Dooley, Mr. Patrick",Q
